file,piece,part,phrase,musician1,musician2,texture,pair,F_M1_M2,p_M1_M2,F_M2_M1,p_M2_M1,p_M1_M2_Bin,p_M2_M1_Bin,avgF,melody_instrument
BorodinPart1,Borodin,Part1,File1,c1,c2,P,c1_c2,1.185218655,0.231261293,1.311201907,0.12703729,0,0,1.248210281,Mixed
BorodinPart1,Borodin,Part1,File1,c1,c3,P,c1_c3,0.622272468,0.943586645,0.691653612,0.891448086,0,0,0.65696304,Mixed
BorodinPart1,Borodin,Part1,File1,c1,c4,P,c1_c4,0.912691268,0.602436849,1.063027693,0.377835763,0,0,0.987859481,Mixed
BorodinPart1,Borodin,Part1,File1,c2,c3,P,c2_c3,1.034623551,0.417663304,1.040675898,0.409026388,0,0,1.037649725,Mixed
BorodinPart1,Borodin,Part1,File1,c2,c4,P,c2_c4,1.475898524,0.05135612,0.884571435,0.645668977,0,0,1.180234979,Mixed
BorodinPart1,Borodin,Part1,File1,c3,c4,P,c3_c4,0.588094143,0.961559478,1.181191228,0.23538117,0,0,0.884642686,Mixed
BorodinPart1,Borodin,Part1,File2,c1,c2,P,c1_c2,1.259084495,0.164757376,1.151729403,0.267256004,0,0,1.205406949,Mixed
BorodinPart1,Borodin,Part1,File2,c1,c3,P,c1_c3,0.770944084,0.805597423,1.049432462,0.39680146,0,0,0.910188273,Mixed
BorodinPart1,Borodin,Part1,File2,c1,c4,P,c1_c4,1.238517561,0.181684459,0.825100946,0.733404393,0,0,1.031809253,Mixed
BorodinPart1,Borodin,Part1,File2,c2,c3,P,c2_c3,1.103727676,0.324426053,0.814119928,0.748766703,0,0,0.958923802,Mixed
BorodinPart1,Borodin,Part1,File2,c2,c4,P,c2_c4,0.804972278,0.761305092,0.838980388,0.713546431,0,0,0.821976333,Mixed
BorodinPart1,Borodin,Part1,File2,c3,c4,P,c3_c4,1.360134652,0.098620714,1.436516829,0.064710168,0,0,1.39832574,Mixed
BorodinPart2,Borodin,Part2,File1,c1,c2,P,c1_c2,0.712431471,0.869251406,0.827125123,0.728807999,0,0,0.769778297,Mixed
BorodinPart2,Borodin,Part2,File1,c1,c3,P,c1_c3,0.759519308,0.817327495,0.702261253,0.879245629,0,0,0.73089028,Mixed
BorodinPart2,Borodin,Part2,File1,c1,c4,P,c1_c4,1.761027103,0.009497604,1.486470119,0.051765922,1,0,1.623748611,Mixed
BorodinPart2,Borodin,Part2,File1,c2,c3,P,c2_c3,0.76720444,0.808024974,0.987691402,0.488164852,0,0,0.877447921,Mixed
BorodinPart2,Borodin,Part2,File1,c2,c4,P,c2_c4,1.45611937,0.061429761,0.82681078,0.729250265,0,0,1.141465075,Mixed
BorodinPart2,Borodin,Part2,File1,c3,c4,P,c3_c4,1.036937571,0.41664319,0.991969611,0.481801235,0,0,1.014453591,Mixed
BorodinPart2,Borodin,Part2,File2,c1,c2,H,c1_c2,1.26292532,0.163206623,1.151182484,0.269144631,0,0,1.207053902,c1
BorodinPart2,Borodin,Part2,File2,c1,c3,H,c1_c3,0.681957675,0.899259166,1.033737885,0.4197292,0,0,0.85784778,c1
BorodinPart2,Borodin,Part2,File2,c1,c4,H,c1_c4,0.823853184,0.734595177,1.047663617,0.400050304,0,0,0.9357584,c1
BorodinPart2,Borodin,Part2,File2,c2,c3,H,c2_c3,0.869110549,0.668661282,0.765187939,0.811977678,0,0,0.817149244,c1
BorodinPart2,Borodin,Part2,File2,c2,c4,H,c2_c4,0.888437195,0.639452047,1.180148634,0.238047419,0,0,1.034292915,c1
BorodinPart2,Borodin,Part2,File2,c3,c4,H,c3_c4,1.905635716,0.003147951,1.360427884,0.099847393,1,0,1.6330318,c1
BorodinPart2,Borodin,Part2,File3,c1,c2,H,c1_c2,1.354470618,0.102716472,1.239463191,0.182011384,0,0,1.296966905,c1
BorodinPart2,Borodin,Part2,File3,c1,c3,H,c1_c3,1.377373988,0.090933124,0.993373079,0.478754597,0,0,1.185373534,c1
BorodinPart2,Borodin,Part2,File3,c1,c4,H,c1_c4,1.301306544,0.13495189,1.16954531,0.248834308,0,0,1.235425927,c1
BorodinPart2,Borodin,Part2,File3,c2,c3,H,c2_c3,1.198974365,0.218893126,1.273427691,0.1548249,0,0,1.236201028,c1
BorodinPart2,Borodin,Part2,File3,c2,c4,H,c2_c4,0.934366992,0.568871449,1.182531146,0.235295469,0,0,1.058449069,c1
BorodinPart2,Borodin,Part2,File3,c3,c4,H,c3_c4,1.062133135,0.379867991,1.237513129,0.183674758,0,0,1.149823132,c1
BorodinPart2,Borodin,Part2,File4,c1,c2,P,c1_c2,0.572879512,0.96878014,1.586706737,0.024679181,0,1,1.079793124,Mixed
BorodinPart2,Borodin,Part2,File4,c1,c3,P,c1_c3,1.150739375,0.265728635,1.306782521,0.127172825,0,0,1.228760948,Mixed
BorodinPart2,Borodin,Part2,File4,c1,c4,P,c1_c4,0.836665827,0.717973787,0.932023317,0.572494262,0,0,0.884344572,Mixed
BorodinPart2,Borodin,Part2,File4,c2,c3,P,c2_c3,0.941229076,0.558114166,0.78691379,0.786693659,0,0,0.864071433,Mixed
BorodinPart2,Borodin,Part2,File4,c2,c4,P,c2_c4,1.497831745,0.043177856,1.465234463,0.052560992,1,0,1.481533104,Mixed
BorodinPart2,Borodin,Part2,File4,c3,c4,P,c3_c4,1.138703999,0.279546091,0.934927037,0.567957307,0,0,1.036815518,Mixed
BorodinPart2,Borodin,Part2,File5,c1,c2,P,c1_c2,1.023908951,0.43285711,1.192413589,0.223396143,0,0,1.10816127,Mixed
BorodinPart2,Borodin,Part2,File5,c1,c3,P,c1_c3,0.988170266,0.486040551,0.85453223,0.691060534,0,0,0.921351248,Mixed
BorodinPart2,Borodin,Part2,File5,c1,c4,P,c1_c4,0.935842573,0.566559701,0.610441701,0.950574015,0,0,0.773142137,Mixed
BorodinPart2,Borodin,Part2,File5,c2,c3,P,c2_c3,1.004858714,0.460952142,0.747908158,0.833652323,0,0,0.876383436,Mixed
BorodinPart2,Borodin,Part2,File5,c2,c4,P,c2_c4,0.871395786,0.665818862,1.351380624,0.102453645,0,0,1.111388205,Mixed
BorodinPart2,Borodin,Part2,File5,c3,c4,P,c3_c4,1.304885671,0.130522795,1.063552149,0.376726881,0,0,1.18421891,Mixed
BorodinPart2,Borodin,Part2,File6,c1,c2,H,c1_c2,1.347726813,0.104092707,1.073311206,0.363225318,0,0,1.210519009,c1
BorodinPart2,Borodin,Part2,File6,c1,c3,H,c1_c3,0.86905499,0.669450045,1.218216163,0.198359506,0,0,1.043635576,c1
BorodinPart2,Borodin,Part2,File6,c1,c4,H,c1_c4,1.547897688,0.032651899,1.238164249,0.180693545,1,0,1.393030969,c1
BorodinPart2,Borodin,Part2,File6,c2,c3,H,c2_c3,1.094473917,0.335297368,0.690288454,0.893176354,0,0,0.892381186,c1
BorodinPart2,Borodin,Part2,File6,c2,c4,H,c2_c4,0.875226419,0.660113813,0.841039138,0.711010398,0,0,0.858132779,c1
BorodinPart2,Borodin,Part2,File6,c3,c4,H,c3_c4,0.985252719,0.490370281,0.472734578,0.992975493,0,0,0.728993648,c1
BorodinPart2,Borodin,Part2,File7,c1,c2,P,c1_c2,1.148501955,0.271108795,1.435924447,0.065141549,0,0,1.292213201,Mixed
BorodinPart2,Borodin,Part2,File7,c1,c3,P,c1_c3,1.45259369,0.05922193,0.988902382,0.485237724,0,0,1.220748036,Mixed
BorodinPart2,Borodin,Part2,File7,c1,c4,P,c1_c4,0.659182884,0.918338592,1.200714491,0.216363222,0,0,0.929948688,Mixed
BorodinPart2,Borodin,Part2,File7,c2,c3,P,c2_c3,1.02231262,0.435670873,0.755049995,0.824739429,0,0,0.888681308,Mixed
BorodinPart2,Borodin,Part2,File7,c2,c4,P,c2_c4,1.31614086,0.124368886,0.837725516,0.715268725,0,0,1.076933188,Mixed
BorodinPart2,Borodin,Part2,File7,c3,c4,P,c3_c4,1.050427092,0.395549081,1.169250257,0.248350751,0,0,1.109838674,Mixed
BorodinPart2,Borodin,Part2,File8,c1,c2,P,c1_c2,1.481339335,0.049737109,0.929618105,0.57621838,1,0,1.20547872,Mixed
BorodinPart2,Borodin,Part2,File8,c1,c3,P,c1_c3,2.201089221,0.000304397,1.062306866,0.378823361,1,0,1.631698043,Mixed
BorodinPart2,Borodin,Part2,File8,c1,c4,P,c1_c4,1.018871547,0.440488301,1.154300444,0.264172624,0,0,1.086585996,Mixed
BorodinPart2,Borodin,Part2,File8,c2,c3,P,c2_c3,1.278832033,0.14941727,1.207572056,0.209305984,0,0,1.243202044,Mixed
BorodinPart2,Borodin,Part2,File8,c2,c4,P,c2_c4,0.984453148,0.49183993,1.27429735,0.152784527,0,0,1.129375249,Mixed
BorodinPart2,Borodin,Part2,File8,c3,c4,P,c3_c4,1.330690504,0.114910672,1.104526421,0.323238351,0,0,1.217608462,Mixed
BorodinPart2,Borodin,Part2,File9,c1,c2,P,c1_c2,0.878138372,0.654404728,1.258239113,0.169959747,0,0,1.068188743,Mixed
BorodinPart2,Borodin,Part2,File9,c1,c3,P,c1_c3,0.949500438,0.54580681,1.169748935,0.25168506,0,0,1.059624686,Mixed
BorodinPart2,Borodin,Part2,File9,c1,c4,P,c1_c4,1.269005784,0.161571632,0.886739039,0.641464526,0,0,1.077872411,Mixed
BorodinPart2,Borodin,Part2,File9,c2,c3,P,c2_c3,1.203052102,0.218204439,1.025871766,0.432329212,0,0,1.114461934,Mixed
BorodinPart2,Borodin,Part2,File9,c2,c4,P,c2_c4,1.186666512,0.234262518,2.016233565,0.001622906,0,1,1.601450039,Mixed
BorodinPart2,Borodin,Part2,File9,c3,c4,P,c3_c4,0.926373231,0.581132965,1.045230561,0.405019438,0,0,0.985801896,Mixed
BorodinPart3,Borodin,Part3,File1,c1,c2,P,c1_c2,1.313044208,0.124143815,1.071642614,0.365056127,0,0,1.192343411,Mixed
BorodinPart3,Borodin,Part3,File1,c1,c3,P,c1_c3,0.951591764,0.542044587,1.304075119,0.130004824,0,0,1.127833442,Mixed
BorodinPart3,Borodin,Part3,File1,c1,c4,P,c1_c4,1.369634594,0.091900207,1.007532682,0.456600004,0,0,1.188583638,Mixed
BorodinPart3,Borodin,Part3,File1,c2,c3,P,c2_c3,1.08591308,0.345992906,0.877224269,0.657233842,0,0,0.981568674,Mixed
BorodinPart3,Borodin,Part3,File1,c2,c4,P,c2_c4,1.420654744,0.069120843,1.065064045,0.374021499,0,0,1.242859394,Mixed
BorodinPart3,Borodin,Part3,File1,c3,c4,P,c3_c4,0.939424698,0.560964724,1.087975609,0.343282547,0,0,1.013700153,Mixed
BorodinPart3,Borodin,Part3,File2,c1,c2,H,c1_c2,4.990849219,1.73E-14,2.71079526,6.71E-06,1,1,3.85082224,c1
BorodinPart3,Borodin,Part3,File2,c1,c3,H,c1_c3,8.440872033,0,3.540812432,5.73E-09,1,1,5.990842232,c1
BorodinPart3,Borodin,Part3,File2,c1,c4,H,c1_c4,2.301634907,0.000179463,2.760491383,4.45E-06,1,1,2.531063145,c1
BorodinPart3,Borodin,Part3,File2,c2,c3,H,c2_c3,2.55054734,2.48E-05,2.813933606,2.85E-06,1,1,2.682240473,c1
BorodinPart3,Borodin,Part3,File2,c2,c4,H,c2_c4,2.544634173,2.61E-05,5.839072393,1.00E-17,1,1,4.191853283,c1
BorodinPart3,Borodin,Part3,File2,c3,c4,H,c3_c4,2.003257362,0.001699087,3.693397384,1.52E-09,1,1,2.848327373,c1
BorodinPart4,Borodin,Part4,File1,c1,c2,H,c1_c2,1.148980339,0.271327579,1.300157684,0.135728877,0,0,1.224569011,c1
BorodinPart4,Borodin,Part4,File1,c1,c3,H,c1_c3,1.02725258,0.428886854,0.876396343,0.657780137,0,0,0.951824462,c1
BorodinPart4,Borodin,Part4,File1,c1,c4,H,c1_c4,1.15131507,0.268709367,1.119470386,0.305822556,0,0,1.135392728,c1
BorodinPart4,Borodin,Part4,File1,c2,c3,H,c2_c3,1.586697048,0.026845823,1.380336708,0.089494813,1,0,1.483516878,c1
BorodinPart4,Borodin,Part4,File1,c2,c4,H,c2_c4,0.665173607,0.913312135,0.583965753,0.963026152,0,0,0.62456968,c1
BorodinPart4,Borodin,Part4,File1,c3,c4,H,c3_c4,1.705100403,0.012504358,1.797972464,0.006654196,1,1,1.751536433,c1
BorodinPart4,Borodin,Part4,File2,c1,c2,H,c1_c2,0.889208804,0.638840638,0.99124119,0.481191984,0,0,0.940224997,c1
BorodinPart4,Borodin,Part4,File2,c1,c3,H,c1_c3,1.045536028,0.401421953,0.712630147,0.872078959,0,0,0.879083088,c1
BorodinPart4,Borodin,Part4,File2,c1,c4,H,c1_c4,1.123599368,0.298615823,0.651700957,0.924698781,0,0,0.887650163,c1
BorodinPart4,Borodin,Part4,File2,c2,c3,H,c2_c3,1.403288929,0.076546427,1.223908893,0.192845182,0,0,1.313598911,c1
BorodinPart4,Borodin,Part4,File2,c2,c4,H,c2_c4,1.295648462,0.136031536,0.952826328,0.540158329,0,0,1.124237395,c1
BorodinPart4,Borodin,Part4,File2,c3,c4,H,c3_c4,0.795848323,0.774297381,0.691798506,0.891975814,0,0,0.743823414,c1
BorodinPart4,Borodin,Part4,File3,c1,c2,H,c1_c2,0.787709401,0.782428269,0.637882874,0.932074279,0,0,0.712796137,c1
BorodinPart4,Borodin,Part4,File3,c1,c3,H,c1_c3,0.643236724,0.92840774,0.994583452,0.477767749,0,0,0.818910088,c1
BorodinPart4,Borodin,Part4,File3,c1,c4,H,c1_c4,0.652517334,0.921751687,0.932536527,0.571706781,0,0,0.792526931,c1
BorodinPart4,Borodin,Part4,File3,c2,c3,H,c2_c3,0.733350688,0.84757245,1.667622809,0.01715254,0,1,1.200486749,c1
BorodinPart4,Borodin,Part4,File3,c2,c4,H,c2_c4,1.199966326,0.220679687,0.416016096,0.997539114,0,0,0.807991211,c1
BorodinPart4,Borodin,Part4,File3,c3,c4,H,c3_c4,1.675332873,0.01633023,0.330994788,0.99972934,1,0,1.00316383,c1
BorodinPart4,Borodin,Part4,File4,c1,c2,H,c1_c2,1.065669504,0.375925019,1.61829337,0.022698181,0,1,1.341981437,c3
BorodinPart4,Borodin,Part4,File4,c1,c3,H,c1_c3,1.320977222,0.123629857,0.937740469,0.563702904,0,0,1.129358845,c3
BorodinPart4,Borodin,Part4,File4,c1,c4,H,c1_c4,0.534341853,0.980429179,1.414691654,0.075431303,0,0,0.974516753,c3
BorodinPart4,Borodin,Part4,File4,c2,c3,H,c2_c3,1.344613394,0.109570718,1.465220144,0.056856114,0,0,1.404916769,c3
BorodinPart4,Borodin,Part4,File4,c2,c4,H,c2_c4,1.53805739,0.037136823,2.264243422,0.000225064,1,1,1.901150406,c3
BorodinPart4,Borodin,Part4,File4,c3,c4,H,c3_c4,1.531491954,0.038623061,0.904207191,0.615200546,1,0,1.217849572,c3
BorodinPart4,Borodin,Part4,File5,c1,c2,H,c1_c2,1.175824634,0.243968507,2.46376711,4.79E-05,0,1,1.819795872,c2
BorodinPart4,Borodin,Part4,File5,c1,c3,H,c1_c3,1.560513235,0.032689323,2.486508035,3.99E-05,1,1,2.023510635,c2
BorodinPart4,Borodin,Part4,File5,c1,c4,H,c1_c4,1.323450489,0.122520289,1.593861681,0.026662694,0,1,1.458656085,c2
BorodinPart4,Borodin,Part4,File5,c2,c3,H,c2_c3,2.035391369,0.001313342,1.803109459,0.006833888,1,1,1.919250414,c2
BorodinPart4,Borodin,Part4,File5,c2,c4,H,c2_c4,1.596841593,0.026176558,0.990842752,0.483063969,1,0,1.293842173,c2
BorodinPart4,Borodin,Part4,File5,c3,c4,H,c3_c4,2.387279309,8.82E-05,0.770982889,0.804098073,1,0,1.579131099,c2
BorodinPart4,Borodin,Part4,File6,c1,c2,H,c1_c2,0.714342654,0.869994218,0.847812673,0.700975398,0,0,0.781077664,c1
BorodinPart4,Borodin,Part4,File6,c1,c3,H,c1_c3,1.482971057,0.048778926,0.778405651,0.796653948,1,0,1.130688354,c1
BorodinPart4,Borodin,Part4,File6,c1,c4,H,c1_c4,1.171713723,0.244667431,1.161215139,0.25596396,0,0,1.166464431,c1
BorodinPart4,Borodin,Part4,File6,c2,c3,H,c2_c3,1.431715723,0.065750103,1.205331646,0.210795606,0,0,1.318523685,c1
BorodinPart4,Borodin,Part4,File6,c2,c4,H,c2_c4,1.13931213,0.280623719,0.983322275,0.493399176,0,0,1.061317202,c1
BorodinPart4,Borodin,Part4,File6,c3,c4,H,c3_c4,0.809727138,0.755201445,0.542189573,0.978845331,0,0,0.675958355,c1
BorodinPart4,Borodin,Part4,File7,c1,c2,P,c1_c2,1.188847721,0.231124287,1.686285099,0.015034401,0,1,1.43756641,Mixed
BorodinPart4,Borodin,Part4,File7,c1,c3,P,c1_c3,1.236669471,0.186749091,0.811755765,0.750574844,0,0,1.024212618,Mixed
BorodinPart4,Borodin,Part4,File7,c1,c4,P,c1_c4,0.631218384,0.936655383,0.93821486,0.563000058,0,0,0.784716622,Mixed
BorodinPart4,Borodin,Part4,File7,c2,c3,P,c2_c3,1.200071852,0.220094282,1.249920484,0.175649989,0,0,1.224996168,Mixed
BorodinPart4,Borodin,Part4,File7,c2,c4,P,c2_c4,0.654640108,0.920388895,1.412592891,0.077089097,0,0,1.0336165,Mixed
BorodinPart4,Borodin,Part4,File7,c3,c4,P,c3_c4,1.029013919,0.427397192,0.887088914,0.641124338,0,0,0.958051417,Mixed
